"period","geography","powertrain_profile","sales"
"2019","Australia","ICE_petrol",258885
"2019","Australia","ICE_diesel",206521
"2019","Australia","mixed_ICE_HEV",182923
"2019","Australia","mixed_ICE_PHEV",99016
"2019","Australia","ICE_petrol_or_diesel",62312
"2019","Australia","HEV",49699
"2019","Australia","ICE_diesel_or_petrol",23179
"2019","Australia","mixed_ICE_HEV_BEV",13342
"2019","Australia","mixed_ICE_HEV_PHEV",7248
"2019","Australia","mixed_ICE_BEV",5705
"2019","Australia","mixed_ICE_BEV_HEV",3729
"2020","Australia","ICE_petrol",200027
"2020","Australia","ICE_diesel",184873
"2020","Australia","mixed_ICE_HEV",163137
"2020","Australia","mixed_ICE_PHEV",87368
"2020","Australia","ICE_petrol_or_diesel",49209
"2020","Australia","HEV",39409
"2020","Australia","ICE_diesel_or_petrol",20706
"2020","Australia","mixed_ICE_HEV_BEV",12514
"2020","Australia","mixed_ICE_BEV",8447
"2020","Australia","mixed_ICE_HEV_PHEV",8065
"2020","Australia","mixed_ICE_BEV_HEV",5494
"2021","Australia","ICE_diesel",163580
"2021","Australia","mixed_ICE_HEV",77579
"2021","Australia","ICE_petrol",72579
"2021","Australia","mixed_ICE_PHEV",64851
"2021","Australia","HEV",28768
"2021","Australia","ICE_petrol_or_diesel",24968
"2021","Australia","mixed_ICE_BEV_HEV",18423
"2022","Australia","ICE_diesel",163354
"2022","Australia","mixed_ICE_HEV",100237
"2022","Australia","mixed_ICE_PHEV",67025
"2022","Australia","ICE_petrol",59318
"2022","Australia","ICE_petrol_or_diesel",27062
"2022","Australia","HEV",25284
"2022","Australia","mixed_ICE_BEV_HEV",22466
"2024","Australia","mixed_ICE_HEV",255659
"2024","Australia","ICE_diesel",236493
"2024","Australia","ICE_petrol",187334
"2024","Australia","mixed_ICE_PHEV",126421
"2024","Australia","BEV",61670
"2024","Australia","ICE_petrol_or_diesel",46657
"2024","Australia","HEV",29118
"2024","Australia","mixed_ICE_BEV_HEV",22629
"2024","Australia","mixed_ICE_HEV_BEV",17374
"2024","Australia","mixed_ICE_HEV_PHEV",15914
"2024","Australia","ICE_diesel_or_petrol",11462
"2024","Australia","mixed_ICE_BEV",11001
"2024","Australia","PHEV",6198
"2025","Australia","ICE_diesel",164761
"2025","Australia","mixed_ICE_HEV",146499
"2025","Australia","mixed_ICE_PHEV",79014
"2025","Australia","mixed_ICE_HEV_BEV",22769
"2025","Australia","ICE_petrol_or_diesel",22742
"2025","Australia","BEV",22239
"2025","Australia","mixed_ICE_BEV_HEV",20000
"2025","Australia","HEV",18968
"2025","Australia","PHEV",18073
"2026-04","Australia","mixed_ICE_HEV",7862
"2026-04","Australia","ICE_diesel",6290
"2026-04","Australia","mixed_ICE_PHEV",5201
"2026-04","Australia","mixed_ICE_HEV_BEV",2158
"2026-04","Australia","BEV",1780
"2026-05","Australia","mixed_ICE_HEV",8275
"2026-05","Australia","ICE_diesel",7797
"2026-05","Australia","BEV",5605
"2026-05","Australia","mixed_ICE_PHEV",4474
"2026-05","Australia","mixed_ICE_HEV_BEV",2291
"2026-05","Australia","ICE_petrol",2171
