"period","geography","market_scope","check_type","component_sales","reported_total_sales","difference","difference_percent","comparison_status"
"2016","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1178133,1178133,0,0,"matches_within_0.5_percent"
"2016","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",32904,NA,NA,NA,"no_matching_total"
"2016","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1145229,NA,NA,NA,"no_matching_total"
"2017","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1189116,1189116,0,0,"matches_within_0.5_percent"
"2017","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",36849,NA,NA,NA,"no_matching_total"
"2017","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1152267,NA,NA,NA,"no_matching_total"
"2018","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1153111,1153111,0,0,"matches_within_0.5_percent"
"2018","Australia","all_new_vehicles","powertrain_totals_vs_market_total",14328,1153111,-1138783,-98.76,"component_rows_incomplete"
"2018","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",41426,NA,NA,NA,"no_matching_total"
"2018","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1111685,NA,NA,NA,"no_matching_total"
"2019","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1062867,1062867,0,0,"matches_within_0.5_percent"
"2019","Australia","all_new_vehicles","powertrain_totals_vs_market_total",1022442,1062867,-40425,-3.8,"review_difference"
"2019","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",37882,NA,NA,NA,"no_matching_total"
"2019","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1024985,NA,NA,NA,"no_matching_total"
"2020","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",916968,916968,0,0,"matches_within_0.5_percent"
"2020","Australia","all_new_vehicles","powertrain_totals_vs_market_total",880632,916968,-36336,-3.96,"review_difference"
"2020","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",34845,NA,NA,NA,"no_matching_total"
"2020","Australia","light_vehicle","vehicle_type_totals_vs_market_total",882123,NA,NA,NA,"no_matching_total"
"2021","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1049741,1049831,-90,-0.01,"matches_within_0.5_percent"
"2021","Australia","all_new_vehicles","powertrain_totals_vs_market_total",1001361,1049831,-48470,-4.62,"review_difference"
"2021","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",43231,NA,NA,NA,"no_matching_total"
"2021","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1006510,NA,NA,NA,"no_matching_total"
"2022","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1078326,NA,NA,NA,"no_matching_total"
"2022","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",47359,NA,NA,NA,"no_matching_total"
"2022","Australia","light_vehicle","powertrain_totals_vs_market_total",1030967,1030967,0,0,"matches_within_0.5_percent"
"2022","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1030967,1030967,0,0,"matches_within_0.5_percent"
"2023","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1213785,NA,NA,NA,"no_matching_total"
"2023","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",51772,NA,NA,NA,"no_matching_total"
"2023","Australia","light_vehicle","powertrain_totals_vs_market_total",1162013,1162013,0,0,"matches_within_0.5_percent"
"2023","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1162013,1162013,0,0,"matches_within_0.5_percent"
"2024","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1182225,NA,NA,NA,"no_matching_total"
"2024","Australia","light_vehicle","powertrain_totals_vs_market_total",1182225,1182225,0,0,"matches_within_0.5_percent"
"2024","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1182225,1182225,0,0,"matches_within_0.5_percent"
"2025","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",1236047,NA,NA,NA,"no_matching_total"
"2025","Australia","heavy_commercial_only","vehicle_type_totals_vs_market_total",45264,NA,NA,NA,"no_matching_total"
"2025","Australia","light_vehicle","powertrain_totals_vs_market_total",1190783,1190783,0,0,"matches_within_0.5_percent"
"2025","Australia","light_vehicle","vehicle_type_totals_vs_market_total",1190783,1190783,0,0,"matches_within_0.5_percent"
"2026","Australia","all_new_vehicles","all_vehicle_type_totals_vs_all_market_total",281103,NA,NA,NA,"no_matching_total"
"2026","Australia","light_vehicle","powertrain_totals_vs_market_total",281103,281103,0,0,"matches_within_0.5_percent"
"2026","Australia","light_vehicle","vehicle_type_totals_vs_market_total",281103,281103,0,0,"matches_within_0.5_percent"
