"irsad_decile","postcode_count","postcode_with_charging_count","charger_site_count","plug_count","dc_plug_count","upcoming_plug_count","fast_or_upcoming_plug_count","total_stock","bev_stock","usual_resident_population","bev_share_weighted","plugs_per_1000_vehicles","dc_plugs_per_1000_vehicles","plugs_per_1000_bevs","plugs_per_10000_people","dc_plugs_per_10000_people","share_of_nsw_plugs","share_of_nsw_dc_plugs"
1,50,23,63,175,44,20,64,327261,1202,489207,0.00367290939036427,0.534741383788475,0.134449262209674,145.590682196339,3.57721782394774,0.899414767164002,0.0313003040600966,0.0267639902676399
2,63,44,142,443,126,54,180,441914,1496,547462,0.00338527405784836,1.00245749172916,0.285123349792041,296.122994652406,8.09188582951876,2.30152960388118,0.0792344839921302,0.0766423357664234
3,72,40,122,398,136,16,152,398715,1884,546643,0.00472517963959219,0.998206739149518,0.341095770161644,211.252653927813,7.28080301037423,2.48791258645954,0.0711858343766768,0.0827250608272506
4,61,48,216,672,241,52,293,708760,3885,897768,0.00548140414244596,0.948134770585247,0.340030475760483,172.972972972973,7.48523003715882,2.68443517701678,0.120193167590771,0.146593673965937
5,50,33,235,687,186,48,234,580844,3351,730664,0.00576919103924634,1.18276163651514,0.320223674515016,205.013428827216,9.4024065781262,2.54562972857565,0.122876050795922,0.113138686131387
6,41,32,153,401,92,14,106,449277,3203,578636,0.00712923207731533,0.892545133625803,0.204773447116144,125.195129566032,6.9300907651788,1.58994601096371,0.071722411017707,0.0559610705596107
7,45,23,86,238,102,21,123,417449,4227,560896,0.0101257878207877,0.570129524804228,0.244341224916098,56.3047078306127,4.24321086261981,1.81851894112277,0.0425684135217314,0.062043795620438
8,52,30,141,504,168,82,250,573215,7216,782433,0.0125886447493523,0.879251240808423,0.293083746936141,69.8447893569845,6.44144610465049,2.14714870155016,0.0901448756930782,0.102189781021898
9,60,44,184,518,162,52,214,666087,10705,1007229,0.0160714741467706,0.777676189446724,0.24321147237523,48.3886034563288,5.14282253588807,1.60837307106924,0.0926489000178859,0.0985401459854015
10,116,99,607,1555,387,184,571,1278624,38607,1945258,0.0301941774908026,1.21615111244588,0.302669119303251,40.2776698526174,7.99379825195424,1.98945332701369,0.278125558934001,0.235401459854015
