"period","irsad_decile","postcode_count","total_stock","bev_stock","hev_or_phev_stock","ice_stock","bev_share_weighted","bev_share_unweighted","share_of_national_bevs"
2021,1,262,1168648,210,9627,1158811,0.000179694826842642,0.000168530777803474,0.0132600871377155
2021,2,261,1646886,455,11366,1635065,0.00027627898955969,0.000137310727428455,0.0287301887983835
2021,3,263,1272899,370,10886,1261643,0.000290675065342969,0.000195968265335322,0.023363010671213
2021,4,261,1803598,671,15090,1787837,0.000372034122903219,0.000233092684051698,0.0423691355686052
2021,5,262,1729239,654,15041,1713544,0.000378201046818861,0.000296592049099628,0.0412956999431711
2021,6,262,1994871,1014,17908,1975949,0.000508303544439716,0.000373636621161527,0.0640272778935404
2021,7,262,1700691,1012,16728,1682951,0.00059505224641043,0.000481765945018724,0.0639009913493717
2021,8,262,2258012,2094,26201,2229717,0.00092736442498977,0.000791381071694947,0.132222011744649
2021,9,263,2313926,2947,35746,2275233,0.00127359301896431,0.00107288050619463,0.186083222832607
2021,10,262,2551518,6410,44974,2500134,0.0025122299744701,0.0026531204198678,0.404748374060744
2022,1,262,1183467,482,12615,1170370,0.000407277938463852,0.0002552223895975,0.0142073925602783
2022,2,261,1675113,928,15781,1658404,0.000553992476925437,0.000332130258097264,0.0273536520662619
2022,3,263,1298731,844,15014,1282873,0.000649865137584303,0.000453528921113027,0.0248776749395744
2022,4,261,1844038,1515,20955,1821568,0.000821566583768881,0.000504105052407357,0.0446560160348995
2022,5,262,1771787,1540,21512,1748735,0.000869178970158377,0.000595070901854111,0.0453929139892708
2022,6,262,2047873,2504,24894,2020475,0.00122273207371746,0.000739450824137699,0.0738076991098273
2022,7,262,1738993,2429,23193,1713371,0.00139678538096473,0.00113035622878511,0.0715970052467134
2022,8,262,2308241,4742,35650,2267849,0.00205437820400903,0.00181132668828015,0.139774803985144
2022,9,263,2348976,6305,47317,2295354,0.00268414832676026,0.00224789659051109,0.185845664092436
2022,10,262,2581284,12637,58038,2510609,0.00489562558788572,0.00516623050875413,0.372487177975594
2023,1,262,1206982,1151,16415,1189416,0.000953618198117288,0.000806422466405764,0.0158822149549475
2023,2,261,1709429,2020,20888,1686521,0.00118168113446069,0.000693520583350813,0.0278732182528184
2023,3,263,1330830,1849,20459,1308522,0.00138935852062247,0.000830089290615213,0.025513653737357
2023,4,261,1886745,3329,28161,1855255,0.00176441437502153,0.001079112602055,0.0459356156255606
2023,5,262,1818561,3474,29958,1785129,0.00191030160659994,0.0013075240183956,0.0479364159456886
2023,6,262,2105165,5718,33502,2065945,0.00271617664173592,0.00163231220720981,0.0789005257275324
2023,7,262,1776817,5510,30422,1740885,0.00310105092420885,0.00236974064007296,0.076030412164866
2023,8,262,2365777,10142,47246,2308389,0.00428696364872936,0.0031936764600692,0.139945633425784
2023,9,263,2390172,13715,60342,2316115,0.00573808077410329,0.00480843919488781,0.189248113038319
2023,10,262,2626588,25563,73734,2527291,0.00973239807689672,0.0102339571431747,0.352734197127127
2024,1,262,1236147,2881,21535,1211731,0.00233062896241305,0.00140325461405723,0.0180496820474266
2024,2,261,1753366,4740,28306,1720320,0.00270337168623094,0.00154809833011926,0.0296964570998966
2024,3,263,1365225,4374,25841,1335010,0.00320386749436906,0.00184485048411881,0.0274034395263603
2024,4,261,1932633,7430,37731,1887472,0.00384449608384003,0.00252726136618284,0.0465495097578548
2024,5,262,1874413,8131,40533,1825749,0.00433789138252882,0.00253960326951042,0.050941327569464
2024,6,262,2166917,12893,45583,2108441,0.00594992793909504,0.00337960270219496,0.0807756163267863
2024,7,262,1826976,12449,41003,1773524,0.0068139920830925,0.00469879900659588,0.0779939228769226
2024,8,262,2440052,22778,63881,2353393,0.00933504695801565,0.00719475108378388,0.14270588603828
2024,9,263,2450594,30636,79050,2340908,0.0125014588299816,0.00995252704965318,0.191936848040598
2024,10,262,2689225,53303,94642,2541280,0.0198209521330495,0.0196987575844966,0.333947310716411
2025,1,262,1267730,4747,31759,1231224,0.00374448817965971,0.00229091272729753,0.0190297131311836
2025,2,261,1799027,7587,43317,1748123,0.00421727967395709,0.00249369096473946,0.0304146689543479
2025,3,263,1401950,6901,38076,1356973,0.00492242947323371,0.00289418487668857,0.0276646408928371
2025,4,261,1983126,12027,57098,1914001,0.0060646676005458,0.00379251453097846,0.0482136843961965
2025,5,262,1924547,13044,60535,1850968,0.00677769885588661,0.00411441626472317,0.0522906210413226
2025,6,262,2239499,21242,71029,2147228,0.00948515717131376,0.0054722193990947,0.0851546590125555
2025,7,262,1883442,20093,61788,1801561,0.0106682340098607,0.00706144638363003,0.080548562448888
2025,8,262,2509375,36260,94463,2378652,0.0144498132004981,0.0110662569755916,0.14535862610843
2025,9,263,2496440,48461,114256,2333723,0.0194120427488744,0.0158482059729081,0.194269839488158
2025,10,262,2729244,79090,132569,2517585,0.0289787208472383,0.0284158375377667,0.317054984526081
